INFO  - 2015-04-07 19:10:10.121; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2015-04-07 19:10:10.122; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2015-04-07 19:10:10.122; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/dist/solr-clustering-4.7.2.jar' to classloader
INFO  - 2015-04-07 19:10:10.123; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2015-04-07 19:10:10.123; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2015-04-07 19:10:10.123; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/dist/solr-langid-4.7.2.jar' to classloader
INFO  - 2015-04-07 19:10:10.124; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2015-04-07 19:10:10.124; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2015-04-07 19:10:10.124; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2015-04-07 19:10:10.125; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2015-04-07 19:10:10.125; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/dist/solr-velocity-4.7.2.jar' to classloader
INFO  - 2015-04-07 19:10:10.280; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2015-04-07 19:10:10.284; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_47
INFO  - 2015-04-07 19:10:10.375; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
